"call","col1"
"call to popen","Call to code execution primitive ""popen""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to popen","Call to code execution primitive ""popen""."
"call to popen","Call to code execution primitive ""popen""."
"call to popen","Call to code execution primitive ""popen""."
"call to popen","Call to code execution primitive ""popen""."
"call to popen","Call to code execution primitive ""popen""."
"call to popen","Call to code execution primitive ""popen""."
"call to popen","Call to code execution primitive ""popen""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to capture2","Call to code execution primitive ""capture2""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to instance_exec","Call to code execution primitive ""instance_exec""."
"call to instance_exec","Call to code execution primitive ""instance_exec""."
"call to instance_exec","Call to code execution primitive ""instance_exec""."
"call to eval","Call to code execution primitive ""eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to eval","Call to code execution primitive ""eval""."
"call to instance_exec","Call to code execution primitive ""instance_exec""."
"call to instance_exec","Call to code execution primitive ""instance_exec""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to class_eval","Call to code execution primitive ""class_eval""."
"call to instance_eval","Call to code execution primitive ""instance_eval""."
"call to eval","Call to code execution primitive ""eval""."
